鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北區,房地(土地+建物)+車位,臺南市北區開元路５２３號十一樓之８,10.59,商,,,1150101,土地3建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1041105,154.54000000000002,3,2,2,有,有,10380000,67167,坡道平面,32.55,0,,RPPOMLQKJHLGFAD67DA,71.09,7.4,7.93,有,0001
東區,房地(土地+建物),臺南市東區裕豐街２９號四樓之９,6.57,住,,,1150108,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781124,27.43,1,1,1,有,有,1550000,56507,,0.0,0,,RPPNMLPKJHLGFCD67DA,15.39,0.0,2.01,無,0002
鹽水區,土地,飯店段1272地號,800.0,,特定農業區,甲種建築用地,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,3750,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJJHLGFDD08DA,0.0,0.0,0.0,無,0003
新營區,土地,太子宮段太子宮小段804地號,1175.0,,特定農業區,農牧用地,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1380000,1174,,0.0,0,賣方賣清。親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKJHLGFDD97DA,0.0,0.0,0.0,無,
六甲區,土地,中社段1171地號,1924.0,,特定農業區,農牧用地,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3078400,1600,,0.0,0,,RPSNMLPJJHLGFFD18DA,0.0,0.0,0.0,無,
官田區,土地,二鎮段二鎮小段442-9地號,196.0,住,,,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3100000,15816,,0.0,0,,RPXNMLNKJHLGFFD58DA,0.0,0.0,0.0,無,
大內區,土地,大內段1858地號,5138.69,,一般農業區,農牧用地,1150112,土地11建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,487,,0.0,0,,RPRPMLPKJHLGFFD38DA,0.0,0.0,0.0,無,0004
學甲區,土地,學甲段655-5地號,38.0,,一般農業區,農牧用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,79800,2100,,0.0,0,協議價購；,RPXOMLPKJHLGFGD98DA,0.0,0.0,0.0,無,
學甲區,土地,學甲段655-6地號,170.0,,一般農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,340000,2000,,0.0,0,協議價購；,SPXOMLPKJHLGFGD09DA,0.0,0.0,0.0,無,
將軍區,土地,西華段960地號,53.75,住,,,1150109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,7442,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,RPPNMLKLJHLGFGD67DA,0.0,0.0,0.0,無,
安定區,土地,光榮段106地號,166.66,,特定農業區,甲種建築用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8066223,48399,,0.0,0,,RPSNMLPJJHLGFHD38DA,0.0,0.0,0.0,無,
安定區,土地,光榮段109地號,3.04,,特定農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,27610,9082,,0.0,0,,SPSNMLPJJHLGFHD48DA,0.0,0.0,0.0,無,
善化區,土地,北子店段一小段731地號,2700.0,,一般農業區,農牧用地,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16470000,6100,,0.0,0,,RPUNMLQKJHLGFHD78DA,0.0,0.0,0.0,無,
歸仁區,房地(土地+建物),臺南市歸仁區中正十五街２８號,95.41,,一般農業區,甲種建築用地,1150105,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0810603,112.9,3,1,2,有,無,2850000,25244,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLPJJHLGFID98DA,91.11,15.66,6.13,無,
永康區,房地(土地+建物),臺南市永康區五王里成功路１８８巷２號七樓之３,5.72,住,,,1150106,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820716,32.56,1,0,1,有,有,900000,27641,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLMKJHLGFKD98DA,19.79,0.0,5.4,有,0005
永康區,土地,龍潭段380地號,135.99,住,,,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6960000,51180,,0.0,0,本件為空地親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKJHLGFKD78DA,0.0,0.0,0.0,無,
永康區,房地(土地+建物),臺南市永康區復興路３３巷７２號,101.75,農,,,1150108,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1070330,215.23,5,2,5,有,無,18950000,88045,,0.0,0,,RPRNMLKLJHLGFKD28DA,189.2,0.0,26.03,無,0006
東山區,土地,牛肉崎段39-2地號,1001.46,,山坡地保育區,農牧用地,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,399,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKJHLGFED08EA,0.0,0.0,0.0,無,0007
東山區,土地,牛肉崎段39-2地號,1001.46,,山坡地保育區,農牧用地,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,449,,0.0,0,,SPPNMLQKJHLGFED18EA,0.0,0.0,0.0,無,0007
東區,房地(土地+建物),臺南市東區裕豐街２１４巷５４之３號,29.8,住,,,1150109,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690726,94.1,3,2,2,有,無,4050000,43039,,0.0,0,陽台外推；,RPTNMLQKJHLGFCD18DA,81.5,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９６號五樓之１,21.81,住,,,1150103,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130816,146.06,3,2,2,有,有,16300000,121275,坡道平面,26.25,1770000,,RPRNMLLLJHLGFCD57DA,69.75,0.0,8.12,有,
鹽水區,土地,南竹子段1224地號,2650.0,,特定農業區,農牧用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2750000,1038,,0.0,0,,RPUNMLKLJHLGFDD87DA,0.0,0.0,0.0,無,
麻豆區,土地,安西段785地號,162.79,,鄉村區,乙種建築用地,1150111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,4054,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKJHLGFFD18DA,0.0,0.0,0.0,無,
西港區,土地,南海段532地號,121.93,都市：其他:道路用地,,,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,215000,1763,,0.0,0,包含公共設施保留地用地；,RPWNMLMJJHLGFGD38DA,0.0,0.0,0.0,無,0009
鹽水區,土地,汫水段1328地號,1285.1,,一般農業區,農牧用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1156590,900,,0.0,0,,RPPNMLKLJHLGFDD47EA,0.0,0.0,0.0,無,
鹽水區,土地,仁愛段174地號,82.27,住,,,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3370000,40963,,0.0,0,政府機關標讓售；,RPPNMLLLJHLGFDD57EA,0.0,0.0,0.0,無,
六甲區,土地,光明段474地號,22.53,都市：其他:住宅區,,,1150105,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,320000,14203,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKJHLGFFD48EA,0.0,0.0,0.0,無,
佳里區,房地(土地+建物)+車位,臺南市佳里區南勢街２０６巷３２號二樓之３,71.47,住,,,1150112,土地3建物1車位7,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121228,230.78000000000003,3,2,2,有,有,12565800,54449,一樓平面,102.55,0,,RPQNMLKLJHLGFGD87EA,80.84,0.0,12.67,有,
安南區,房地(土地+建物)+車位,臺南市安南區安富二街９０號十樓之６,16.19,住,,,1150111,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140402,104.55000000000001,2,2,1,有,有,7500000,71736,坡道平面,26.43,0,,RPSNMLNKJHLGFBD67DA,46.64,0.0,4.57,有,0010
安南區,土地,媽宮段1135地號,62.01,都市：其他:細部計畫道路用地,,,1150113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,32253,,0.0,0,,RPWNMLOKJHLGFBD18DA,0.0,0.0,0.0,無,0011
安南區,土地,南興段28地號,16.75,住,,,1150109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1006173,60070,,0.0,0,政府機關標讓售；,RPUNMLQKJHLGFBD18DA,0.0,0.0,0.0,無,
安南區,土地,怡安段786-2地號,57.91,住,,,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4880000,84269,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLJHLGFBD27DA,0.0,0.0,0.0,無,0012
白河區,土地,虎山段1983地號,4.61,,一般農業區,農牧用地,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5532,1200,,0.0,0,協議價購；,RPPNMLTKJHLGFED28DA,0.0,0.0,0.0,無,0013
白河區,土地,虎山段1983地號,4.61,,一般農業區,農牧用地,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5532,1200,,0.0,0,協議價購；,RPQNMLTKJHLGFED38DA,0.0,0.0,0.0,無,0013
東山區,土地,下南勢段762-1地號,1157.05,,山坡地保育區,農牧用地,1150119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,210000,181,,0.0,0,,RPPNMLKLJHLGFED47DA,0.0,0.0,0.0,無,0015
大內區,土地,石城段697地號,515.83,農,,,1150107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2340000,4536,,0.0,0,農作物；,RPVNMLPKJHLGFFD58DA,0.0,0.0,0.0,無,
下營區,土地,營中段417地號,213.97,住,,,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3780000,17666,,0.0,0,,RPPNMLKLJHLGFFD57DA,0.0,0.0,0.0,無,
下營區,土地,營中段419地號,107.54,住,,,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2147000,19965,,0.0,0,,RPQNMLKLJHLGFFD67DA,0.0,0.0,0.0,無,
七股區,土地,三合段1143地號,1995.0,,特定農業區,農牧用地,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,2005,,0.0,0,,RPTNMLNKJHLGFGD28DA,0.0,0.0,0.0,無,0016
新化區,土地,中興段287地號,1169.55,,森林區,農牧用地,1150120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,770,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKLJHLGFHD97DA,0.0,0.0,0.0,無,
龍崎區,土地,崎頂段367-31地號,1177.0,,山坡地保育區,農牧用地,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,2294,,0.0,0,未登記建物；,RPXPMLPKJHLGFID66DA,0.0,0.0,0.0,無,
歸仁區,土地,歸仁北段1219地號,283.36,農,,,1150112,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,10587,,0.0,0,未登記建物；,RPWNMLKLJHLGFID58DA,0.0,0.0,0.0,無,
永康區,房地(土地+建物),臺南市永康區大灣路７６４巷５６號六樓之１６,4.11,住,,,1150107,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0940708,16.73,1,1,1,有,有,1250000,74716,,0.0,0,陽台外推；夾層；,RPPPMLRJJHLGFKD78DA,6.45,0.35,1.84,有,
永康區,土地,信義段172-4地號,44.43,住,,,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4729574,106450,,0.0,0,政府機關標讓售；,RPPOMLKLJHLGFKD18DA,0.0,0.0,0.0,無,
柳營區,土地,果毅段174地號,177.2,,鄉村區,乙種建築用地,1150114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,6772,,0.0,0,,RPPNMLQKJHLGFDD97EA,0.0,0.0,0.0,無,0017
柳營區,土地,果毅段174地號,177.2,,鄉村區,乙種建築用地,1150115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,6772,,0.0,0,,RPQNMLMLJHLGFDD77EA,0.0,0.0,0.0,無,0017
官田區,土地,福安段971地號,89.01,住,,,1150111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3100000,34828,,0.0,0,未登記建物；,RPQNMLMLJHLGFFD97EA,0.0,0.0,0.0,無,
七股區,房地(土地+建物),臺南市七股區城內６６之３號,7312.72,,特定農業區,農牧用地,1150109,土地8建物7車位0,全,一層,透天厝,其他,磚木構造,1070918,4205.12,0,0,0,無,無,5650000,1344,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLMLJHLGFGD08EA,4205.12,0.0,0.0,無,
善化區,房地(土地+建物),臺南市善化區東勢寮１４８之２號,286.0,,鄉村區,乙種建築用地,1150105,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830727,274.37,5,2,2,有,無,12000000,43737,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLJHLGFHD18EA,245.73,0.0,28.64,無,
北區,建物,臺南市北區開元路６６巷２５號四樓,0.0,,,,1150102,土地0建物1車位0,四層，電梯樓梯間,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700529,91.77,3,2,2,有,有,2500000,27242,,0.0,0,建物坐落地號：東豐段974-39地號；親友、員工、共有人或其他特殊關係間之交易；,RPPOMLMJJHLGFAD17DA,84.02,0.0,0.0,有,
北區,房地(土地+建物),臺南市北區東豐路４５１巷１弄３４號,75.0,住,,,1150102,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0681017,133.92,5,3,3,有,無,13500000,100806,,0.0,0,其他增建；,RPPTMLQJJHLGFAD08DA,133.92,0.0,0.0,無,
中西區,土地,府前段121地號,14.38,商,,,1150104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,180807,,0.0,0,未登記建物；,RPRPMLOKJHLGFAD77DA,0.0,0.0,0.0,無,0019
安平區,土地,漁港段134地號,5.83,都市：其他:特定住宅專用區,,,1150115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,34305,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQKJHLGFAD08DA,0.0,0.0,0.0,無,0020
安平區,房地(土地+建物),臺南市安平區建平九街８８號,200.0,住,,,1150110,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土構造,1050316,548.98,6,3,6,有,無,46180000,84120,,0.0,0,,RPUNMLMLJHLGFAD77DA,491.92,0.0,57.06,無,0021
安南區,房地(土地+建物),臺南市安南區長和路一段９４１巷２號,77.23,住,,,1150107,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651210,71.08,2,1,1,有,無,4000000,56275,,0.0,0,土地增值稅及登記所需費用由買方負擔。含土地增值稅或其他稅費96520元；含地政士服務費；,RPSNMLQKJHLGFBD97DA,71.08,0.0,0.0,無,
南區,房地(土地+建物),臺南市南區萬年三街２４０號,14.88,住,,,1150116,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1050527,92.51,2,1,2,有,有,7000000,75667,,0.0,0,,RPUNMLTKJHLGFCD58DA,55.5,0.0,6.34,有,
東區,房地(土地+建物),臺南市東區林森路一段１６０號七樓之８,3.08,住,,,1150110,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790926,23.490000000000002,1,0,1,有,有,1880000,80034,,0.0,0,,RPPNMLMLJHLGFCD47DA,12.85,0.0,2.87,有,0022
新營區,房地(土地+建物),臺南市新營區太子路１０１號,88.83,住,,,1150102,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140207,205.14,5,2,5,有,無,19000000,92620,,0.0,0,,RPPNMLRJJHLGFDD87DA,179.53,0.0,25.61,無,
柳營區,土地,太康段797地號,1000.0,,特定農業區,農牧用地,1150117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2150000,2150,,0.0,0,,RPSNMLLLJHLGFDD77DA,0.0,0.0,0.0,無,
柳營區,土地,太康段796地號,1000.0,,特定農業區,農牧用地,1150117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2150000,2150,,0.0,0,,RPTNMLLLJHLGFDD87DA,0.0,0.0,0.0,無,
東山區,土地,田尾段2090地號,1496.0,,特定農業區,農牧用地,1150112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2094400,1400,,0.0,0,,RPQNMLKLJHLGFED57DA,0.0,0.0,0.0,無,
白河區,土地,永秀段68地號,45.08,住,,,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,54126,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNLJHLGFED08DA,0.0,0.0,0.0,無,0023
麻豆區,土地,龍泉段305-10地號,370.28,住,,,1150101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500000,17554,,0.0,0,,RPUNMLOKJHLGFFD38DA,0.0,0.0,0.0,無,
學甲區,土地,學甲段549-2地號,6.0,,一般農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18150,3025,,0.0,0,急買急賣；畸零地或有合併使用效益；,RPROMLQKJHLGFGD48DA,0.0,0.0,0.0,無,
將軍區,房地(土地+建物),臺南市將軍區忠嘉里昌平５之１６號,84.59,住,,,1150109,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680831,121.95,5,3,2,有,無,2420000,19844,,0.0,0,頂樓加蓋；其他增建；,RPPNMLMLJHLGFGD87DA,112.85,0.0,9.1,無,
將軍區,土地,長榮段646-2地號,31.19,住,,,1150110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,6412,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMLJHLGFGD18DA,0.0,0.0,0.0,無,0024
佳里區,房地(土地+建物)+車位,臺南市佳里區南勢街２０６巷３５號四樓之８,34.15,住,,,1150115,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131231,105.81,2,2,2,有,有,7000000,64964,一樓平面,14.99,1100000,,RPPNMLNLJHLGFGD97DA,58.49,0.0,5.95,有,
關廟區,土地,北花段379-1地號,5.0,住,,,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,378125,75625,,0.0,0,,RPQNMLNLJHLGFID28DA,0.0,0.0,0.0,無,
歸仁區,土地,新豐段1063地號,52.96,住,,,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3204000,60498,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNLJHLGFID38DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺南市北區公園南路３６５號十樓之３,3.26,住,,,1150102,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0960824,29.55,1,0,1,有,有,4000000,135364,,0.0,0,,RPUOMLRKJHLGFAD28DA,16.82,0.0,4.34,有,0025
北區,車位,臺南市北區公園南路３７０巷２號地下一層,1.45,住,,,1150108,土地1建物1車位1,地下一層,十八層,其他,辦公室　管理員室,鋼筋混凝土造,0840912,8.37,0,0,0,無,有,500000,,坡道機械,0.0,500000,僅車位交易；,RPPOMLKLJHLGFAD17DA,0.0,0.0,0.0,有,0026
中西區,房地(土地+建物),臺南市中西區民權路二段２８０號,89.63,商,,,1150105,土地1建物1車位0,全,三層,透天厝,住家用,磚石造,0351213,128.18,3,2,2,有,無,30000000,234046,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLLJHLGFAD57DA,128.18,0.0,0.0,無,
中西區,土地,頂美段1216地號,76.49,住,,,1150107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5070000,66283,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLLLJHLGFAD67DA,0.0,0.0,0.0,無,
安平區,房地(土地+建物)+車位,臺南市安平區建平五街２２巷１５弄１５號三樓,32.33,住,,,1150107,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810416,154.24,3,2,2,有,無,5770000,37409,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLLJHLGFAD77DA,106.37,0.0,11.94,有,
北區,房地(土地+建物)+車位,臺南市北區北門路二段５７７巷８號三樓之１,31.08,住,,,1150101,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930521,141.67000000000002,3,2,2,有,有,9350000,65998,坡道平面,0.0,0,,RPOPMLNLJHLGFAD47DA,86.89,0.0,8.61,有,0027
安南區,土地,十二佃段111地號,2015.81,工,,,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,36567298,18140,,0.0,0,政府機關標讓售；,RPWNMLMKJHLGFBD97DA,0.0,0.0,0.0,無,
安南區,土地,和農段152地號,93.83,農,,,1150112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,985215,10500,,0.0,0,,RPRNMLOKJHLGFBD67DA,0.0,0.0,0.0,無,0028
安南區,建物,臺南市安南區安和路二段３１８巷１２５弄２０號,0.0,,,,1150108,土地0建物1車位0,全,二層,透天厝,住工用,加強磚造,0791102,257.65,2,1,2,有,無,860000,3338,,0.0,0,建物坐落地號：和業段1016地號；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKJHLGFBD87DA,242.69,0.0,14.96,無,
東區,房地(土地+建物),臺南市東區勝利路５０號三樓之１２,4.73,住,,,1150117,土地3建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830208,32.9,1,0,1,有,有,2780000,84498,,0.0,0,其他增建；,RPPNMLRKJHLGFCD87DA,19.44,0.0,3.36,有,
東區,房地(土地+建物)+車位,臺南市東區崇賢一路３６號九樓之１,21.32,住,,,1150116,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140124,138.32,3,2,2,有,有,15000000,108444,坡道平面,21.69,0,,RPVNMLTKJHLGFCD68DA,69.2,0.0,6.55,有,0029
南區,房地(土地+建物),臺南市南區中華南路二段３０２巷１弄４號五樓,39.54,住,,,1150117,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711129,92.59,3,2,1,有,無,3000000,32397,,0.0,0,,RPPNMLKLJHLGFCD27DA,76.22,0.0,10.08,無,
南區,房地(土地+建物),臺南市南區金華路一段４８４巷９９弄３１之３號,24.62,都市：其他:住宅區,,,1150101,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700203,80.71000000000001,3,2,1,有,無,2850000,35312,,0.0,0,,RPOOMLMLJHLGFCD47DA,69.84,0.0,0.0,無,0030
鹽水區,房地(土地+建物),臺南市鹽水區月津路７５巷２號一樓之一,24.56,住,,,1150114,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830830,84.22,3,0,1,有,無,2500000,29684,,0.0,0,,RPQNMLPLJHLGFDD97DA,59.64,0.0,0.0,有,
新營區,土地,東興段370-1地號,20.54,住,,,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,856000,41675,,0.0,0,,RPSNMLQLJHLGFDD28DA,0.0,0.0,0.0,無,
後壁區,土地,道場段878地號,125.04,,鄉村區,乙種建築用地,1150117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,572266,4577,,0.0,0,地上未保存建物之權利隨同移轉。本買賣價金，為878地號522266元，877、879地號為道路用地，售價50000元。未登記建物；,RPRNMLKLJHLGFED67DA,0.0,0.0,0.0,無,0031
後壁區,土地,道場段878地號,125.04,,鄉村區,乙種建築用地,1150117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,572266,4577,,0.0,0,地上未保存建物之權利隨同移轉予買方。本買賣價金，為878地號522266元，877、879地號為道路用地，售價50000元。。未登記建物；,RPSNMLKLJHLGFED77DA,0.0,0.0,0.0,無,0031
白河區,房地(土地+建物),臺南市白河區國光路２６號,76.0,商,,,1150108,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0710522,200.34,6,2,3,有,無,7000000,34941,,0.0,0,其他增建；,RPSNMLQLJHLGFED38DA,188.76,0.0,11.58,無,
六甲區,土地,水漆林段1613地號,594.0,農,,,1150101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,1515,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLMLJHLGFFD77DA,0.0,0.0,0.0,無,
麻豆區,土地,大埕段786地號,386.0,住,,,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,23316,,0.0,0,本件土地為袋地未面臨道路。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLNLJHLGFFD97DA,0.0,0.0,0.0,無,
學甲區,土地,興業段649-2地號,11.47,工,,,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,266100,23200,,0.0,0,買方是鄰地，因越界建築而購買。,RPUNMLKLJHLGFGD18DA,0.0,0.0,0.0,無,
新市區,土地,北三舍段585地號,101.55,,鄉村區,乙種建築用地,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3640000,35844,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKJHLGFHD68DA,0.0,0.0,0.0,無,
仁德區,土地,二橋段271-4地號,50.0,,特定農業區,農牧用地,1150109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,595000,11900,,0.0,0,協議價購；,RPSNMLMLJHLGFID38DA,0.0,0.0,0.0,無,
仁德區,土地,二橋段308-2地號,35.0,,特定農業區,農牧用地,1150109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,416500,11900,,0.0,0,協議價購；,RPUNMLMLJHLGFID58DA,0.0,0.0,0.0,無,
楠西區,房地(土地+建物),臺南市楠西區中興路６３巷２弄２號,96.82,住,,,1150111,土地1建物1車位0,全,三層,透天厝,住商用,ＲＣ造,0810828,134.23,3,2,2,有,無,3600000,26820,,0.0,0,,RPPNMLTKJHLGFJD78DA,128.99,0.0,5.24,無,0033
